Node;Lat;Long;Capacity (MW);Source;;
ROX;-45.709;168.968;685;Clutha River;;
WKM;-38.5344;175.9958;1178;Tongariro River;;
TKU;-38.9812256;175.7661892;211;Lake Taupo;;
WHI;-38.9557;177.1837;121;Lake Waikaremoana;;
TWZ;-44.250;170.100;1308;Lake Waitaki;;
MAN;-45.521;167.278;114;Lake manapouri;;
ISL;-43.650;171.239;81;Lake Coleridge and Rakaia;;
BPE;-40.577;175.540;18;Mangahao River;;
STK;-41.118;172.637;39;Cobb Reservoir;;
NPL;-39.545;174.569;19;Patea;;
HWB;-46.008;170.160;82;Waipori;;
IGH;-42.636;171.193;6;Taramakau;;
