Period start,Period end,Trading period,Region ID,Region,Price ($/MWh)
02/09/2019 00:00:00,02/09/2019 00:30:00,1,NZ,New Zealand,76.80
02/09/2019 00:30:00,02/09/2019 01:00:00,2,NZ,New Zealand,76.74
02/09/2019 01:00:00,02/09/2019 01:30:00,3,NZ,New Zealand,75.97
02/09/2019 01:30:00,02/09/2019 02:00:00,4,NZ,New Zealand,75.55
02/09/2019 02:00:00,02/09/2019 02:30:00,5,NZ,New Zealand,75.55
02/09/2019 02:30:00,02/09/2019 03:00:00,6,NZ,New Zealand,65.49
02/09/2019 03:00:00,02/09/2019 03:30:00,7,NZ,New Zealand,76.07
02/09/2019 03:30:00,02/09/2019 04:00:00,8,NZ,New Zealand,79.36
02/09/2019 04:00:00,02/09/2019 04:30:00,9,NZ,New Zealand,94.11
02/09/2019 04:30:00,02/09/2019 05:00:00,10,NZ,New Zealand,90.31
02/09/2019 05:00:00,02/09/2019 05:30:00,11,NZ,New Zealand,93.60
02/09/2019 05:30:00,02/09/2019 06:00:00,12,NZ,New Zealand,107.34
02/09/2019 06:00:00,02/09/2019 06:30:00,13,NZ,New Zealand,109.25
02/09/2019 06:30:00,02/09/2019 07:00:00,14,NZ,New Zealand,123.07
02/09/2019 07:00:00,02/09/2019 07:30:00,15,NZ,New Zealand,141.37
02/09/2019 07:30:00,02/09/2019 08:00:00,16,NZ,New Zealand,141.70
02/09/2019 08:00:00,02/09/2019 08:30:00,17,NZ,New Zealand,110.27
02/09/2019 08:30:00,02/09/2019 09:00:00,18,NZ,New Zealand,104.64
02/09/2019 09:00:00,02/09/2019 09:30:00,19,NZ,New Zealand,74.64
02/09/2019 09:30:00,02/09/2019 10:00:00,20,NZ,New Zealand,93.86
02/09/2019 10:00:00,02/09/2019 10:30:00,21,NZ,New Zealand,99.30
02/09/2019 10:30:00,02/09/2019 11:00:00,22,NZ,New Zealand,119.09
02/09/2019 11:00:00,02/09/2019 11:30:00,23,NZ,New Zealand,112.92
02/09/2019 11:30:00,02/09/2019 12:00:00,24,NZ,New Zealand,113.97
02/09/2019 12:00:00,02/09/2019 12:30:00,25,NZ,New Zealand,106.48
02/09/2019 12:30:00,02/09/2019 13:00:00,26,NZ,New Zealand,126.67
02/09/2019 13:00:00,02/09/2019 13:30:00,27,NZ,New Zealand,126.23
02/09/2019 13:30:00,02/09/2019 14:00:00,28,NZ,New Zealand,124.31
02/09/2019 14:00:00,02/09/2019 14:30:00,29,NZ,New Zealand,114.35
02/09/2019 14:30:00,02/09/2019 15:00:00,30,NZ,New Zealand,113.78
02/09/2019 15:00:00,02/09/2019 15:30:00,31,NZ,New Zealand,112.72
02/09/2019 15:30:00,02/09/2019 16:00:00,32,NZ,New Zealand,114.38
02/09/2019 16:00:00,02/09/2019 16:30:00,33,NZ,New Zealand,114.34
02/09/2019 16:30:00,02/09/2019 17:00:00,34,NZ,New Zealand,113.21
02/09/2019 17:00:00,02/09/2019 17:30:00,35,NZ,New Zealand,91.25
02/09/2019 17:30:00,02/09/2019 18:00:00,36,NZ,New Zealand,82.70
02/09/2019 18:00:00,02/09/2019 18:30:00,37,NZ,New Zealand,101.11
02/09/2019 18:30:00,02/09/2019 19:00:00,38,NZ,New Zealand,103.89
02/09/2019 19:00:00,02/09/2019 19:30:00,39,NZ,New Zealand,89.55
02/09/2019 19:30:00,02/09/2019 20:00:00,40,NZ,New Zealand,88.23
02/09/2019 20:00:00,02/09/2019 20:30:00,41,NZ,New Zealand,84.68
02/09/2019 20:30:00,02/09/2019 21:00:00,42,NZ,New Zealand,93.08
02/09/2019 21:00:00,02/09/2019 21:30:00,43,NZ,New Zealand,94.42
02/09/2019 21:30:00,02/09/2019 22:00:00,44,NZ,New Zealand,89.38
02/09/2019 22:00:00,02/09/2019 22:30:00,45,NZ,New Zealand,109.90
02/09/2019 22:30:00,02/09/2019 23:00:00,46,NZ,New Zealand,79.70
02/09/2019 23:00:00,02/09/2019 23:30:00,47,NZ,New Zealand,91.54
02/09/2019 23:30:00,03/09/2019 00:00:00,48,NZ,New Zealand,83.86
