X,Y,OBJECTID,MXLOCATION,type,status,description,GlobalID
1750929.00009999983,5932699.00009999983,1,ALB,ACSTN,COMMISSIONED,Albany,34980b38-ef57-43e1-ae18-4bbeb8e307f5
1483256.00009999983,5243850.00009999983,2,APS,ACSTN,COMMISSIONED,Arthurs Pass,82e595e6-04e2-4705-be90-cc9a59acb8fc
1873657.00009999983,5721161.00009999983,3,ARA,ACSTN,COMMISSIONED,Aratiatia,b038c952-70a3-4011-9abb-69e6a7d9d49e
1616837.00009999983,5386748.00009999983,4,ARG,ACSTN,COMMISSIONED,Argyle,96c8c10f-bf57-45b1-9380-7995327c78a5
1831847.00009999983,5782925.00009999983,5,ARI,ACSTN,COMMISSIONED,Arapuni,469eacb9-714c-4381-a676-94963eed206a
1503871.00009999983,5133909.00009999983,6,ASB,ACSTN,COMMISSIONED,Ashburton,bd5654a0-2e7f-4608-8508-3793cc3cc57e
1569375.00009999983,5209968.00009999983,7,ASY,ACSTN,COMMISSIONED,Ashley,186c4585-bfc5-44f1-9a26-0633ec41d0f4
1863993.00009999983,5746266.00009999983,8,ATI,ACSTN,COMMISSIONED,Atiamuri,72ce3d68-05b9-4157-bd6f-247878fac5c6
1424397.00009999983,5097843.00009999983,9,ABY,ACSTN,COMMISSIONED,Albury,f3951930-1794-4c95-91b6-57572786dc51
1567884.00009999983,5179259.00009999983,10,ADD,ACSTN,COMMISSIONED,Addington,e877e204-06c3-47da-b286-48d32b45901e
1479770.00009999983,5314014.00009999983,11,ATU,ACSTN,COMMISSIONED,Atarau,dd9dba07-719e-4424-b869-80fadb29342a
1390245.00009999983,5051586.00009999983,12,AVI,ACSTN,COMMISSIONED,Aviemore,f4e56c5b-b40c-4d61-89b6-df90bacea298
1350994.00009999983,4875583.00009999983,13,BAL,ACSTN,COMMISSIONED,Balclutha,9617ecf2-350e-42f8-bc12-ea7642392fa3
1279333.00009999983,4872602.00009999983,14,BDE,ACSTN,COMMISSIONED,Brydone,bfd108b3-e94e-4fcd-a45e-b4fdc7ac1ec6
1377232.00009999983,5061385.00009999983,15,BEN,ACSTN,COMMISSIONED,Benmore AC,748ab6c6-1ded-4463-b02c-ced6b3ab22f1
1677835.00009999983,5405479.00009999983,16,BLN,ACSTN,COMMISSIONED,Blenheim,872471d5-0b76-4325-bb8c-f8e24963ad39
1777554.00009999983,5882318.00009999983,17,BOB,ACSTN,COMMISSIONED,Bombay,20c7ca45-013d-4bb6-8eb2-26ca8bee5a81
1774444.910099999979,5906262.720099999569,18,BHL,ACSTN,COMMISSIONED,Brownhill Road,d249ba91-0d68-4287-b3bd-0b145fcdea87
1438716.00009999983,5027527.00009999983,19,BPD,ACSTN,COMMISSIONED,Bells Pond,a46f0b45-bf63-46ea-9f0f-0b1bf77f6c05
1824482.00009999983,5537672.00009999983,20,BPE,ACSTN,COMMISSIONED,Bunnythorpe,dcca2423-a2cc-4ae5-8250-c26cc8771c3d
1426227.0301,5027118.8901,21,BPT,ACSTN,COMMISSIONED,Black Point,77ba87c1-3c65-494c-b5eb-73eed3f0b62b
1733637.00009999983,6031785.00009999983,22,BRB,ACSTN,COMMISSIONED,Bream Bay,8893b839-1252-4f46-9f11-52efea4f7595
1775381.00009999983,5584691.00009999983,23,BRK,ACSTN,COMMISSIONED,Brunswick,ab8f9fc4-2bc0-4759-ae00-0c9fc5deb228
1575608.00009999983,5180029.00009999983,24,BRY,ACSTN,COMMISSIONED,Bromley,1b623d25-30ff-4641-94ed-b6c0c5772844
1375380.00009999983,4908481.00009999983,25,BWK,ACSTN,COMMISSIONED,Berwick,b3624553-fbfa-46a7-817f-633a770998f2
1818482.00009999983,5805622.00009999983,26,CBG,ACSTN,COMMISSIONED,Cambridge,04588ad3-92d2-4353-a221-64043e38d1c4
1496824.00009999983,5214719.00009999983,27,CLH,ACSTN,COMMISSIONED,Castle Hill,fa2de1aa-ab38-4246-b7c7-95be16df7c16
1300103.00009999983,5003434.00009999983,28,CML,ACSTN,COMMISSIONED,Cromwell,0003c065-6b43-4aba-9ef9-bcbd724b2c4e
1480646.00009999983,5197734.00009999983,30,COL,ACSTN,COMMISSIONED,Coleridge,6dcf5cf3-3c72-4182-b1b3-e675c9545e4d
1748149.00009999983,5426363.00009999983,31,CPK,ACSTN,COMMISSIONED,Central Park,c6ba2c77-0c5a-440e-b304-c9c07c9066a0
1694035.00009999983,5673654.00009999983,32,CST,ACSTN,COMMISSIONED,Carrington Street,7276722f-e812-49fe-b142-fd593a3b4773
1589859.00009999983,5270393.00009999983,33,CUL,ACSTN,COMMISSIONED,Culverden,3a802ca4-b1e7-456e-b5af-9f4a827ab531
1309791.00009999983,4990371.00009999983,34,CYD,ACSTN,COMMISSIONED,Clyde,345b836d-4116-4723-85e0-fc6fe79af4c0
1460288.00009999983,5298504.00009999983,35,DOB,ACSTN,COMMISSIONED,Dobson,e41d4095-0708-418d-bb01-956df06c868e
1774160.00009999983,5889442.00009999983,36,DRY,ACSTN,COMMISSIONED,Drury,3bc160f4-8e58-4927-828a-d81e5be9f36b
1858006.00009999983,5546736.00009999983,37,DVK,ACSTN,COMMISSIONED,Dannevirke,8666e6dd-4028-479a-8853-6fe2ec3b5842
1936284.00009999983,5788677.00009999983,38,EDG,ACSTN,COMMISSIONED,Edgecumbe,eda63f43-211b-43d1-a594-a746c921b665
1274964.00009999983,4862682.00009999983,39,EDN,ACSTN,COMMISSIONED,Edendale,7a6c068f-526e-4468-b200-d86ce08a1cab
1923083.00009999983,5609948.00009999983,40,FHL,ACSTN,COMMISSIONED,Fernhill,e47fb1a5-476b-46c7-80f1-d4e4b6160238
1264313.00009999983,5007062.00009999983,41,FKN,ACSTN,COMMISSIONED,Frankton,22a99aec-109c-41e0-b881-cba96362b013
1760647.00009999983,5432797.00009999983,42,GFD,ACSTN,COMMISSIONED,Gracefield,36af685e-b2f7-4e25-b653-28b2f9ec48d8
1753635.00009999983,5881167.00009999983,44,GLN,ACSTN,COMMISSIONED,Glenbrook,af1141af-c6a5-4735-9e04-82899ef5f160
1453179.00009999983,5298172.00009999983,45,GYM,ACSTN,COMMISSIONED,Greymouth,07e4a082-93f9-41c7-b734-c6a4f3e870ce
1804621.00009999983,5445253.00009999983,46,GYT,ACSTN,COMMISSIONED,Greytown,c2b9adf2-d397-455e-ac53-edb8d0ecbbb5
1802987.00009999983,5816159.00009999983,47,HAM,ACSTN,COMMISSIONED,Hamilton,8ea185cc-49a6-4507-a674-f46da9e83aa4
1766258.00009999983,5442603.00009999983,48,HAY,ACSTN,COMMISSIONED,Haywards AC,97480e61-08df-434e-b4dc-9ffd1f2b5d34
1744226.00009999983,5921548.00009999983,49,HEN,ACSTN,COMMISSIONED,Henderson,046eef94-1489-4ad4-ae7c-aa3e46a6f362
1747934.00009999983,5916486.00009999983,50,HEP,ACSTN,COMMISSIONED,Hepburn Road,72067824-a0d0-4ff3-a6bc-6348b60b646a
1843078.00009999983,5799495.00009999983,51,HIN,ACSTN,COMMISSIONED,Hinuera,58f74c93-a6ff-4f8b-b2f0-f47896148b75
1284097.00009999983,4885035.00009999983,52,GOR,ACSTN,COMMISSIONED,Gore,7bd92676-d143-4a60-be85-21e77810bcf0
1434864.00009999983,5267776.00009999983,53,HKK,ACSTN,COMMISSIONED,Hokitika (Westpower),61e60238-6c5f-4eb7-bc88-c96b65da8d6a
1790106.00009999983,5842852.00009999983,54,HLY,ACSTN,COMMISSIONED,Huntly,ba8cfa21-b9d4-4473-a52f-9800ca059427
1757117.00009999983,5920840.00009999983,55,HOB,ACSTN,COMMISSIONED,Hobson Street,a2736c8c-04e7-4e1b-8494-3eb4d0259de9
1517688.00009999983,5178084.00009999983,56,HOR,ACSTN,COMMISSIONED,Hororata,6ccb2887-d6b4-467b-ba45-7aaa341df2ab
1737565.00009999983,5930600.00009999983,57,HPI,ACSTN,COMMISSIONED,Huapai,8fd191d7-59b7-4bb3-9f02-cbc4985ba23b
1790574.00009999983,5764029.00009999983,58,HTI,ACSTN,COMMISSIONED,Hangatiki,3b01ce26-8929-40e8-a65c-bcc775db9891
