OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,Shape__Length,GlobalID
1,AHA-DOB-A,66,COMMISSIONED,Arahura - Dobson A,TRANSLINE,66 TRANSLINE,8857.46440836165,6c59f621-bda4-458b-a710-6f454a263361
2,AHA-DOB-A1-CBL,66,COMMISSIONED,AHA-DOB-A1-CBL Section,CABLE,66 CABLE,470.196468692008,21b7a647-d819-4538-b649-9e714abec586
3,AHA-OTI-A,66,COMMISSIONED,Arahura - Otira A,TRANSLINE,66 TRANSLINE,63421.1775846478,18444645-a782-47c2-a9da-4b8b7cfecc9c
4,ALB-HPI-A,220,COMMISSIONED,Albany - Huapai A,TRANSLINE,220 TRANSLINE,14887.8050679823,f2f7cd00-6fb5-427b-abbe-8980e7be3aa5
5,ALB-SVL-A,220,COMMISSIONED,Albany - Silverdale A,TRANSLINE,220 TRANSLINE,14346.2632928135,2a0663ae-5034-43a8-a53d-b9162483b7e6
6,ALB-WRD-C-CBL,220,COMMISSIONED,Albany - Wairau Road Cable C,CABLE,220 CABLE,8372.8233808627,82b1478f-e763-4c75-994a-b9c13c4c4108
7,ARA-WRK-A,220,COMMISSIONED,Aratiatia - Wairakei A,TRANSLINE,220 TRANSLINE,4564.26499099791,0e865a81-152f-4df9-8bcf-f3fe72f7665b
8,ARI-EDG-A,110,COMMISSIONED,Arapuni - Edgecumbe A,TRANSLINE,110 TRANSLINE,80565.8374112732,4ed37f8c-6139-42d2-8c22-f55aafbc78d1
9,ARI-EDG-B,110,COMMISSIONED,Arapuni - Edgecumbe B,TRANSLINE,110 TRANSLINE,79597.8157479109,7ba6acb3-956a-4250-96ba-e96d036f1be8
10,ARI-HAM-A,110,COMMISSIONED,Arapuni - Hamilton A,TRANSLINE,110 TRANSLINE,47281.4575089006,bbfd2964-abcd-4758-beaf-1f7503490f88
11,ARI-HAM-B,110,COMMISSIONED,Arapuni - Hamilton B,TRANSLINE,110 TRANSLINE,47307.9994757916,96fe6c82-e905-445b-9eb5-43b4b26a71ac
12,ARI-ONG-A,110,COMMISSIONED,Arapuni - Ongarue A,TRANSLINE,110 TRANSLINE,40714.1404056268,69478521-faf6-4a26-93a3-c865503d7c77
