Station_Name;Operators_Name;Connection_Type;Generation_Type;Operating_Capacity;Fuel_Name;Installed_Capacity;Max_Unit_Size;Typical_Annual_GWh;Hydro_Max_m3_Storage;Node_Name;Region_Name;Island_Name
Huntly;Genesis Energy;Grid Connected;Thermal;500;Coal_NI;1000;250 MW;2850;0;HLY2201;WTO - Waikato;NI - North Island
Manapouri;Meridian Energy;Grid Connected;Hydro;850;Hydro;850;120 MW;5100;382;MAN2201;OTG - Otago/Southland;SI - South Island
Benmore;Meridian Energy;Grid Connected;Hydro;540;Hydro;540;94 MW;2500;74;BEN2202;SCN - South Canterbury;SI - South Island
Clyde;Contact Energy;Grid Connected;Hydro;432;Hydro;432;108 MW;2050;24;CYD2201;OTG - Otago/Southland;SI - South Island
Huntly e3p;Genesis Energy;Grid Connected;Thermal;400;Gas;400;400 MW;2410;0;HLY2202;WTO - Waikato;NI - North Island
TCC - Taranaki Combined Cycle;Contact Energy;Grid Connected;Thermal;385;Gas;385;385 MW;2200;0;SFD2201;TRN - Taranaki;NI - North Island
Otahuhu B;Contact Energy;Grid Connected;Thermal;0;Gas;380;380 MW;0;0;OTA2202;AKL - Auckland;NI - North Island
Maraetai;Mighty River Power;Grid Connected;Hydro;360;Hydro;360;36 MW;885;0;MTI2201;WTO - Waikato;NI - North Island
New Plymouth;Contact Energy;Grid Connected;Thermal;0;Gas;360;105 MW;0;0;NPL1101;TRN - Taranaki;NI - North Island
Roxburgh;Contact Energy;Grid Connected;Hydro;320;Hydro;320;40 MW;1610;0;ROX1101;OTG - Otago/Southland;SI - South Island
Ohau A;Meridian Energy;Grid Connected;Hydro;264;Hydro;264;66 MW;1150;0;OHA2201;SCN - South Canterbury;SI - South Island
Tokaanu;Genesis Energy;Grid Connected;Hydro;240;Hydro;240;60 MW;763;0;TKU0331;CEN - Central;NI - North Island
Marsden B;Mighty River Power;Grid Connected;Thermal;0;Coal_NI;236;236 MW;0;0;MDN1101;NIS - North Isthmus;NI - North Island
Aviemore;Meridian Energy;Grid Connected;Hydro;220;Hydro;220;55 MW;930;17;AVI2201;SCN - South Canterbury;SI - South Island
Ohau B;Meridian Energy;Grid Connected;Hydro;212;Hydro;212;53 MW;970;0;OHB2201;SCN - South Canterbury;SI - South Island
Ohau C;Meridian Energy;Grid Connected;Hydro;212;Hydro;212;53 MW;970;0;OHC2201;SCN - South Canterbury;SI - South Island
Stratford Peaker;Contact Energy;Grid Connected;Thermal;200;Gas;200;100 MW;350;0;SFD2201;TRN - Taranaki;NI - North Island
Arapuni;Mighty River Power;Grid Connected;Hydro;196,7;Hydro;196,7;26.7 MW;805;10;ARI1101;WTO - Waikato;NI - North Island
Southdown;Mighty River Power;Grid Connected;Thermal;140;Gas;175;45 MW;400;0;SWN2201;AKL - Auckland;NI - North Island
Wairakei;Contact Energy;Grid Connected;Geothermal;161;Geothermal;175;30 MW;1310;0;WRK2201;WTO - Waikato;NI - North Island
Te Mihi;Contact Energy;Grid Connected;Geothermal;166;Geothermal;166;83 MW;1300;0;THI2201;WTO - Waikato;NI - North Island
Tekapo B;Genesis Energy;Grid Connected;Hydro;160;Hydro;160;80 MW;800;0;TKB2201;SCN - South Canterbury;SI - South Island
Whirinaki;Contact Energy;Grid Connected;Thermal;155;Diesel;155;52 MW;9;0;WHI2201;HBY - Hawkes Bay;NI - North Island
West Wind;Meridian Energy;Grid Connected;Wind;143;Wind;143;2.3 MW;550;0;WWD1102, WWD1103;WEL - Wellington;NI - North Island
Nga Awa Purua;Mighty River Power;Grid Connected;Geothermal;140;Geothermal;140;140 MW;1100;0;NAP2201;WTO - Waikato;NI - North Island
Rangipo;Genesis Energy;Grid Connected;Hydro;120;Hydro;120;60 MW;580;0;RPO2201;CEN - Central;NI - North Island
Ohaaki;Contact Energy;Grid Connected;Geothermal;70;Geothermal;116;58 MW;300;0;OKI2201;WTO - Waikato;NI - North Island
Glenbrook;Alinta Energy;Grid Connected Cogen;Cogeneration;112;Gas;112;74 MW;550;0;GLN0332;AKL - Auckland;NI - North Island
Mokai I,II & III;Mighty River Power;Grid Connected;Geothermal;112;Geothermal;112;35 MW;900;0;WKM2201;WTO - Waikato;NI - North Island
Ohakuri;Mighty River Power;Grid Connected;Hydro;112;Hydro;112;28 MW;400;14;OHK2201;WTO - Waikato;NI - North Island
Waitaki;Meridian Energy;Grid Connected;Hydro;90;Hydro;105;15 MW;500;12;WTK0111;OTG - Otago/Southland;SI - South Island
McKee;Todd Energy;Grid Connected;Thermal;102;Gas;102;50 MW;300;0;MKE1101;TRN - Taranaki;NI - North Island
Kawerau Geothermal;Mighty River Power;Grid Connected;Geothermal;100;Geothermal;100;100 MW;800;0;KAW1101;BOP - Bay Of Plenty;NI - North Island
Whakamaru;Mighty River Power;Grid Connected;Hydro;100;Hydro;100;25 MW;494;11;WKM2201;WTO - Waikato;NI - North Island
Tararua Stage 3;Trustpower;Grid Connected;Wind;93;Wind;93;3 MW;375;0;TWC2201;CEN - Central;NI - North Island
Te Apiti;Meridian Energy;Grid Connected;Wind;90,75;Wind;90,75;1.65 MW;258;0;WDV1101;CEN - Central;NI - North Island
Aratiatia;Mighty River Power;Grid Connected;Hydro;78;Hydro;90;30 MW;330;0;ARA2201;WTO - Waikato;NI - North Island
Karapiro;Mighty River Power;Grid Connected;Hydro;90;Hydro;90;30 MW;525;14;KPO1101;WTO - Waikato;NI - North Island
Atiamuri;Mighty River Power;Grid Connected;Hydro;84;Hydro;84;21 MW;289;0;ATI2201;BOP - Bay Of Plenty;NI - North Island
Waipori;Trustpower;Combination, Grid Connected/Embedded;Hydro;84;Hydro;84;19 MW;178;0;BWK1101;OTG - Otago/Southland;SI - South Island
Ngatamariki;Mighty River Power;Grid Connected;Geothermal;82;Geothermal;82;21 MW;670;0;NAP2202;WTO - Waikato;NI - North Island
Matahina;Trustpower;Grid Connected;Hydro;72;Hydro;72;36 MW;280;7;MAT1101;BOP - Bay Of Plenty;NI - North Island
Kiwi Dairy, Hawera (Whareroa);Todd Energy;Grid Connected Cogen;Cogeneration;69,6;Gas;69,6;26 MW;180;0;HWA1102;TRN - Taranaki;NI - North Island
